"","symbol","date","open","high","low","close","volume","adjusted","exg_rate"
"37","S&P_500",2020-02-25,3238.939941,3246.98999,3118.77002,3128.209961,5596760000,3128.209961,1
"38","S&P_500",2020-02-26,3139.899902,3182.51001,3108.98999,3116.389893,5484650000,3116.389893,1
"39","S&P_500",2020-02-27,3062.540039,3097.070068,2977.389893,2978.76001,7064710000,2978.76001,1
"40","S&P_500",2020-02-28,2916.899902,2959.719971,2855.840088,2954.219971,8569570000,2954.219971,1
"41","S&P_500",2020-03-02,2974.280029,3090.959961,2945.189941,3090.22998,6381330000,3090.22998,1
"42","S&P_500",2020-03-03,3096.459961,3136.719971,2976.629883,3003.370117,6376510000,3003.370117,1
"43","S&P_500",2020-03-04,3045.75,3130.969971,3034.379883,3130.120117,5073020000,3130.120117,1
"44","S&P_500",2020-03-05,3075.699951,3083.040039,2999.830078,3023.939941,5579290000,3023.939941,1
"45","S&P_500",2020-03-06,2954.199951,2985.929932,2901.540039,2972.370117,6555240000,2972.370117,1
"46","S&P_500",2020-03-09,2863.889893,2863.889893,2734.429932,2746.560059,8441290000,2746.560059,1
"47","S&P_500",2020-03-10,2813.47998,2882.590088,2734,2882.22998,7642040000,2882.22998,1
"48","S&P_500",2020-03-11,2825.600098,2825.600098,2707.219971,2741.379883,7431200000,2741.379883,1
"49","S&P_500",2020-03-12,2630.860107,2660.949951,2478.860107,2480.639893,8850810000,2480.639893,1
"50","S&P_500",2020-03-13,2569.98999,2711.330078,2492.370117,2711.02002,8299070000,2711.02002,1
"51","S&P_500",2020-03-16,2508.590088,2562.97998,2380.939941,2386.129883,7805450000,2386.129883,1
"52","S&P_500",2020-03-17,2425.659912,2553.929932,2367.040039,2529.189941,8370250000,2529.189941,1
"53","S&P_500",2020-03-18,2436.5,2453.570068,2280.52002,2398.100098,8799300000,2398.100098,1
"54","S&P_500",2020-03-19,2393.47998,2466.969971,2319.780029,2409.389893,7956100000,2409.389893,1
"55","S&P_500",2020-03-20,2431.939941,2453.01001,2295.560059,2304.919922,9053950000,2304.919922,1
"56","S&P_500",2020-03-23,2290.709961,2300.72998,2191.860107,2237.399902,7411380000,2237.399902,1
"57","S&P_500",2020-03-24,2344.439941,2449.709961,2344.439941,2447.330078,7563150000,2447.330078,1
"58","S&P_500",2020-03-25,2457.77002,2571.419922,2407.530029,2475.560059,8300010000,2475.560059,1
"59","S&P_500",2020-03-26,2501.290039,2637.01001,2500.719971,2630.070068,7766990000,2630.070068,1
"60","S&P_500",2020-03-27,2555.870117,2615.909912,2520.02002,2541.469971,6201670000,2541.469971,1
"61","S&P_500",2020-03-30,2558.97998,2631.800049,2545.280029,2626.649902,5751120000,2626.649902,1
"62","S&P_500",2020-03-31,2614.689941,2641.389893,2571.149902,2584.590088,6576210000,2584.590088,1
"63","S&P_500",2020-04-01,2498.080078,2522.75,2447.48999,2470.5,5.964e+09,2470.5,1
"64","S&P_500",2020-04-02,2458.540039,2533.219971,2455.790039,2526.899902,6464190000,2526.899902,1
"65","S&P_500",2020-04-03,2514.919922,2538.179932,2459.959961,2488.649902,6096970000,2488.649902,1
"66","S&P_500",2020-04-06,2578.280029,2676.850098,2574.570068,2663.679932,6403840000,2663.679932,1
"67","S&P_500",2020-04-07,2738.649902,2756.889893,2657.669922,2659.409912,7050410000,2659.409912,1
"68","S&P_500",2020-04-08,2685,2760.75,2663.300049,2749.97998,5875710000,2749.97998,1
"69","S&P_500",2020-04-09,2776.98999,2818.570068,2762.360107,2789.820068,7899550000,2789.820068,1
"70","S&P_500",2020-04-13,2782.459961,2782.459961,2721.169922,2761.629883,5319530000,2761.629883,1
"71","S&P_500",2020-04-14,2805.100098,2851.850098,2805.100098,2846.060059,5615730000,2846.060059,1
"72","S&P_500",2020-04-15,2795.639893,2801.879883,2761.540039,2783.360107,5.208e+09,2783.360107,1
"73","S&P_500",2020-04-16,2799.340088,2806.51001,2764.320068,2799.550049,5228810000,2799.550049,1
"74","S&P_500",2020-04-17,2842.429932,2879.219971,2830.879883,2874.560059,5804810000,2874.560059,1
"75","S&P_500",2020-04-20,2845.620117,2868.97998,2820.429932,2823.159912,5228630000,2823.159912,1
"76","S&P_500",2020-04-21,2784.810059,2785.540039,2727.100098,2736.560059,5121010000,2736.560059,1
"77","S&P_500",2020-04-22,2787.889893,2815.100098,2775.949951,2799.310059,5084920000,2799.310059,1
"78","S&P_500",2020-04-23,2810.419922,2844.899902,2794.26001,2797.800049,5773530000,2797.800049,1
"79","S&P_500",2020-04-24,2812.639893,2842.709961,2791.76001,2836.73999,5382810000,2836.73999,1
"80","S&P_500",2020-04-27,2854.649902,2887.719971,2852.889893,2878.47998,5203930000,2878.47998,1
"81","S&P_500",2020-04-28,2909.959961,2921.149902,2860.709961,2863.389893,5691160000,2863.389893,1
"82","S&P_500",2020-04-29,2918.459961,2954.860107,2912.159912,2939.51001,6645640000,2939.51001,1
